dates,green,red,nir,swir1,swir2,evi,qa
739455,484,321,4014,1746,730,6427,0
739459,536,373,3615,1679,769,5789,4
739460,602,504,3706,2286,1149,5654,0
739465,525,510,3200,1937,982,4700,0
739467,284,155,1664,608,263,3181,4
739470,487,478,2818,1795,891,4320,0
739472,165,120,1068,582,319,2016,2
739475,600,627,2563,2277,1296,3554,0
739475,603,626,2756,2359,1345,3714,0
739480,1237,1249,4124,3003,1698,5009,4
739495,683,889,2162,2933,2078,2230,0
739499,1120,1105,3469,3020,2070,3894,4
739507,772,1028,2192,1933,1159,1886,2
739510,1196,1872,3480,4067,2598,2121,0
739512,1201,1739,3128,4210,2969,1980,0
739515,1309,1771,3221,4127,2990,2129,0
739520,702,959,1808,2295,1546,1541,4
739523,972,1292,2289,3518,2663,1651,0
739532,983,1352,2477,3542,2532,1792,0
739539,1061,1336,2642,3651,2675,2123,0
739540,997,1299,2600,3642,2492,2155,0
739545,1028,1240,2699,3550,2549,2395,0
739547,1055,1256,2734,3436,2472,2448,0
739555,840,1043,2422,2875,1930,2291,0
739555,888,1068,2443,2809,1921,2325,0
739560,828,1043,2578,3012,1956,2582,0
739563,877,1052,2480,2807,1894,2420,0
739565,859,1107,2552,3076,2177,2414,0
739571,975,1264,2609,3194,2293,2197,0
739585,750,973,2410,2753,1843,2440,0
739595,1109,1343,2751,3112,2278,2236,4
739600,805,1059,2422,3027,2157,2399,0
739605,456,628,1518,1676,1151,1665,0
739611,1540,1758,2971,3310,2784,1679,4
739615,787,975,2348,2775,1951,2389,0
